tool_number,serial_number,description,condition,location,category,status,requires_calibration,calibration_frequency_days,warehouse_id
TB-Q400-001,TB-Q400-SN-001,Q400 Main Landing Gear Tow Bar Assembly,excellent,Hangar 1 - Bay A,Towing Equipment,available,false,,1
TB-RJ85-001,TB-RJ85-SN-001,RJ85 Nose Gear Tow Bar with Shear Pin,good,Hangar 1 - Bay A,Towing Equipment,available,false,,1
TB-CL415-001,TB-CL415-SN-001,CL-415 Water Bomber Tow Bar Kit,excellent,Hangar 2 - Storage,Towing Equipment,available,false,,1
FQIS-001,FQIS-SN-2024-001,Fuel Quantity Indicator Test Set - Digital,excellent,Avionics Shop - Bench 3,Test Equipment,available,true,180,1
FQIS-002,FQIS-SN-2024-002,Fuel Quantity Indicator Test Set - Analog,good,Avionics Shop - Bench 4,Test Equipment,available,true,180,1
FQIS-003,FQIS-SN-2023-015,Portable Fuel Quantity Test Unit,excellent,Tool Crib A-12,Test Equipment,available,true,90,1
RIG-Q400-AIL-L,RIG-Q400-AIL-L-001,Q400 LH Aileron Rigging Pin Kit (Complete),excellent,Hangar 1 - Tool Room,Rigging Equipment,available,false,,1
RIG-Q400-AIL-R,RIG-Q400-AIL-R-001,Q400 RH Aileron Rigging Pin Kit (Complete),excellent,Hangar 1 - Tool Room,Rigging Equipment,available,false,,1
RIG-Q400-ELEV,RIG-Q400-ELEV-001,Q400 Elevator Rigging Pin Set,good,Hangar 1 - Tool Room,Rigging Equipment,available,false,,1
RIG-Q400-RUD,RIG-Q400-RUD-001,Q400 Rudder Rigging Pin Assembly,excellent,Hangar 1 - Tool Room,Rigging Equipment,available,false,,1
RIG-RJ85-FLAP,RIG-RJ85-FLAP-001,RJ85 Flap Rigging Pin Kit with Alignment Tools,good,Hangar 2 - Tool Storage,Rigging Equipment,available,false,,1
RIG-CL415-WING,RIG-CL415-WING-001,CL-415 Wing Leveling and Rigging Kit,excellent,Hangar 2 - Tool Storage,Rigging Equipment,available,false,,1
PITOT-TEST-001,PITOT-TEST-SN-001,Pitot-Static Test Set with Digital Display,excellent,Avionics Shop - Calibration Lab,Test Equipment,available,true,365,1
PITOT-TEST-002,PITOT-TEST-SN-002,Portable Pitot-Static Tester,good,Tool Crib B-5,Test Equipment,available,true,365,1
ALT-TEST-001,ALT-TEST-SN-001,Altimeter Test Set - Precision Digital,excellent,Avionics Shop - Calibration Lab,Test Equipment,available,true,180,1
VSI-TEST-001,VSI-TEST-SN-001,Vertical Speed Indicator Test Bench,good,Avionics Shop - Bench 2,Test Equipment,available,true,180,1
TORQUE-001,TORQUE-SN-2024-001,Precision Torque Wrench 1/2" Drive 30-250 ft-lbs,excellent,Tool Crib A-1,Torque Tools,available,true,180,1
TORQUE-002,TORQUE-SN-2024-002,Precision Torque Wrench 3/8" Drive 10-100 ft-lbs,excellent,Tool Crib A-1,Torque Tools,available,true,180,1
TORQUE-003,TORQUE-SN-2023-045,Precision Torque Wrench 3/4" Drive 100-600 ft-lbs,good,Tool Crib A-2,Torque Tools,available,true,90,1
TORQUE-004,TORQUE-SN-2023-046,Electronic Torque Wrench with Data Logger,excellent,Tool Crib A-1,Torque Tools,available,true,90,1
TORQUE-005,TORQUE-SN-2024-003,Micro Torque Wrench 1/4" Drive 5-50 in-lbs,excellent,Avionics Shop - Bench 1,Torque Tools,available,true,180,1
COMP-TEST-001,COMP-TEST-SN-001,Turbine Engine Compression Tester,excellent,Engine Shop - Test Cell,Engine Test Equipment,available,true,365,1
COMP-TEST-002,COMP-TEST-SN-002,Differential Compression Tester - Piston,good,Engine Shop - Bench 5,Engine Test Equipment,available,true,365,1
BORE-001,BORE-SN-2024-001,Digital Borescope with 4mm Probe - 2m Cable,excellent,Engine Shop - NDT Room,Inspection Equipment,available,true,365,1
BORE-002,BORE-SN-2023-012,Rigid Borescope Set - Multiple Angles,good,Engine Shop - NDT Room,Inspection Equipment,available,true,180,1
HYDRO-TEST-001,HYDRO-TEST-SN-001,Hydraulic System Test Stand - 3000 PSI,excellent,Hydraulics Shop - Test Bay,Hydraulic Equipment,available,true,180,1
HYDRO-TEST-002,HYDRO-TEST-SN-002,Portable Hydraulic Pressure Test Kit,good,Hydraulics Shop - Tool Room,Hydraulic Equipment,available,true,90,1
HYDRO-MULE-001,HYDRO-MULE-SN-001,Hydraulic Test Mule - Q400 Compatible,excellent,Hangar 1 - Equipment Bay,Hydraulic Equipment,available,true,365,1
ELEC-LOAD-001,ELEC-LOAD-SN-001,Electrical Load Bank - 28VDC 200A,excellent,Electrical Shop - Test Area,Electrical Test Equipment,available,true,365,1
ELEC-LOAD-002,ELEC-LOAD-SN-002,AC Load Bank - 115V 400Hz,good,Electrical Shop - Test Area,Electrical Test Equipment,available,true,180,1
MEGA-001,MEGA-SN-2024-001,Megohmmeter 5000V Insulation Tester,excellent,Electrical Shop - Bench 3,Electrical Test Equipment,available,true,180,1
MEGA-002,MEGA-SN-2023-089,Digital Megohmmeter 1000V,good,Tool Crib B-8,Electrical Test Equipment,available,true,90,1
DMM-001,DMM-SN-2024-001,Fluke 87V Industrial Multimeter,excellent,Avionics Shop - Bench 1,Electrical Test Equipment,available,true,365,1
DMM-002,DMM-SN-2024-002,Fluke 87V Industrial Multimeter,excellent,Avionics Shop - Bench 2,Electrical Test Equipment,available,true,365,1
